package,breaking_version,ecosystem,label_breaking,V_r,E_r,D_t,H_m,CRS_equal,CRS_learned,CRS_rating,R0,propagation_class,r_squared,first_issue_hours
gatsby,3.0.0-reach-router.14,npm,1,0.0,0.0004153429017417,0.0,0.0,0.0001038357254354,0.0001570197982483,SAFE,,,,
gatsby,3.0.0-reach-router.16,npm,1,0.0,0.0004153429017417,0.0,0.0,0.0001038357254354,0.0001570197982483,SAFE,,,,
gatsby,3.0.0-reach-router.18,npm,1,0.0,0.0004153429017417,0.0,0.0,0.0001038357254354,0.0001570197982483,SAFE,,,,
hapi,1.0.0,npm,1,0.125,8.538569090146067e-05,0.0,0.0,0.0312713464227253,0.043021608333807,SAFE,,,,
hapi,2.0.0,npm,1,0.4561,8.538569090146067e-05,0.0,0.0,0.1140463464227253,0.1568917413832528,SAFE,,,,
hapi,3.0.0,npm,1,0.0204,8.538569090146067e-05,0.0,0.0,0.0051213464227253,0.0070481383338914,SAFE,,,,
hapi,5.0.0,npm,1,0.0435,8.538569090146067e-05,0.0,0.0,0.0108963464227253,0.014992566221062,SAFE,,,,
hapi,7.0.0,npm,1,0.05,8.538569090146067e-05,0.0,0.0,0.0125213464227253,0.0172280112975386,SAFE,,,,
hapi,10.0.0,npm,1,0.0588,8.538569090146067e-05,0.0,0.0,0.0147213464227253,0.0202544600164608,SAFE,,,,
react-testing-library,2.0.0,npm,1,0.8235,5.825345091917805e-05,0.0,0.0,0.2058895633627298,0.2832357180931917,SAFE,,,,
debug,4.0.0,npm,1,0.0,0.8508974920201096,0.0,0.0,0.2127243730050274,0.3216805968436453,SAFE,,,,
minimatch,1.0.0,npm,1,0.0,0.8484756299205892,0.0,0.0,0.2121189074801473,0.3207650152924561,SAFE,,,,
minimatch,2.0.0,npm,1,1.0,0.8484756299205892,0.0,0.0,0.4621189074801473,0.6646796424427004,WAIT,,,,
minimatch,3.0.0,npm,1,0.0,0.8484756299205892,0.0,0.0,0.2121189074801473,0.3207650152924561,SAFE,,,,
glob,3.0.0,npm,1,0.0,0.4925150898901939,0.0,0.0,0.1231287724725484,0.1861946351425312,SAFE,,,,
glob,7.0.0,npm,1,0.0,0.4925150898901939,0.0,0.0,0.1231287724725484,0.1861946351425312,SAFE,,,,
glob,11.0.0,npm,1,0.0,0.4925150898901939,0.0,0.0,0.1231287724725484,0.1861946351425312,SAFE,,,,
uuid,2.0.0,npm,1,0.0,0.363712605415447,0.0,0.0,0.0909281513538617,0.1375010375360622,SAFE,,,,
uuid,10.0.0,npm,1,0.0,0.363712605415447,0.0,0.0,0.0909281513538617,0.1375010375360622,SAFE,,,,
graceful-fs,2.0.0,npm,1,0.0,0.2241937421201817,0.0,0.0,0.0560484355300454,0.0847561280297274,SAFE,,,,
rimraf,2.0.0,npm,1,0.0,0.1939098963557897,0.0,0.0,0.0484774740889474,0.0733073628475868,SAFE,,,,
rimraf,3.0.0,npm,1,0.0,0.1939098963557897,0.0,0.0,0.0484774740889474,0.0733073628475868,SAFE,,,,
react-dom,16.0.0,npm,1,1.0,0.1758139115264614,0.0,0.0,0.2939534778816153,0.4103808284537396,WAIT,,,,
ajv-formats,1.0.0,npm,1,1.0,0.1262292015388464,0.0,0.0,0.2815573003847116,0.3916353987718783,WAIT,,,,
eslint-plugin-react-hooks,2.0.0,npm,1,0.0,0.1143401946974133,0.0,0.0,0.0285850486743533,0.0432261493522104,SAFE,,,,
eslint-plugin-react-hooks,6.0.0,npm,1,0.0,0.1143401946974133,0.0,0.0,0.0285850486743533,0.0432261493522104,SAFE,,,,
tar,1.0.0,npm,1,0.0,0.1128155907913728,0.0,0.0,0.0282038976978432,0.0426497749956696,SAFE,,,,
tar,3.0.0,npm,1,0.7692,0.1128155907913728,0.0,0.0,0.2205038976978432,0.3071889061996374,SAFE,,,,
tar,5.0.0,npm,1,0.0,0.1128155907913728,0.0,0.0,0.0282038976978432,0.0426497749956696,SAFE,,,,
eslint-config-prettier,10.0.0,npm,1,0.0,0.0788615688452961,0.0,0.0,0.019715392211324,0.029813504884066,SAFE,,,,
