package,breaking_version,V_r,E_r,D_t,H_m,CRS_equal,CRS_learned,CRS_rating,label_breaking,propagation_class,R0,ci_check_failure_rate,ci_check_prs_sampled,ci_check_prs_failed,pr_rejection_rate,bot_prs_total,bot_prs_rejected,ci_failure_issues,is_deprecated,days_to_patch,quick_patch
joi,9.0.0,0.0,0.02903769040307591,0.0,0.0,0.007259422600768978,0.01097765790523883,SAFE,1,,,,,,,,,,,,
superagent,1.0.0,0.0667,0.02801926269341777,0.0,0.0,0.02367981567335444,0.03353174837680506,SAFE,1,,,,,,,,,,,,
superagent,3.0.0,0.5667,0.02801926269341777,0.0,0.0,0.14867981567335445,0.20548906195192715,SAFE,1,,,,,,,,,,,,
superagent,10.0.0,0.0526,0.02801926269341777,0.0,0.0,0.02015481567335444,0.02868255213398662,SAFE,1,,,,,,,,,,,,
multer,1.0.0,0.0,0.022816689776531892,0.0,0.0,0.005704172444132973,0.008625817391805896,SAFE,1,,,,,,,,,,,,
nodemailer,3.0.0,0.5,0.02171342197144131,0.0,0.0,0.13042835549286033,0.18016604212914406,SAFE,1,,,,,,,,,,,,
nodemailer,4.0.0,0.0,0.02171342197144131,0.0,0.0,0.005428355492860327,0.008208728554021978,SAFE,1,,,,,,,,,,,,
request,1.0.0,1.0,0.020837760729218408,0.0,0.0,0.2552094401823046,0.3517923132065825,WAIT,1,,,,,,,,,,,,
supertest,4.0.0,0.0,0.020283687653052055,0.0,0.0,0.005070921913263014,0.007668219511298853,SAFE,1,,,,,,,,,,,,
supertest,6.0.0,0.0,0.020283687653052055,0.0,0.0,0.005070921913263014,0.007668219511298853,SAFE,1,,,,,,,,,,,,
connect,2.0.0,0.2326,0.02027068939773275,0.0,0.0,0.0632176723494332,0.08765784781435353,SAFE,1,,,,,,,,,,,,
mocha,1.0.0,0.0,0.019120906795257953,0.0,0.0,0.004780226698814488,0.007228631847871197,SAFE,1,,,,,,,,,,,,
mocha,2.0.0,0.0,0.019120906795257953,0.0,0.0,0.004780226698814488,0.007228631847871197,SAFE,1,,,,,,,,,,,,
sinon,2.0.0,0.4,0.015403330615377131,0.0,0.0,0.10385083265384429,0.14338905827603562,SAFE,1,,,,,,,,,,,,
sinon,3.0.0,0.0625,0.015403330615377131,0.0,0.0,0.019475832653844283,0.02731787161282822,SAFE,1,,,,,,,,,,,,
sinon,4.0.0,0.0,0.015403330615377131,0.0,0.0,0.0038508326538442827,0.005823207415937956,SAFE,1,,,,,,,,,,,,
sinon,6.0.0,0.0,0.015403330615377131,0.0,0.0,0.0038508326538442827,0.005823207415937956,SAFE,1,,,,,,,,,,,,
sinon,7.0.0,0.0,0.015403330615377131,0.0,0.0,0.0038508326538442827,0.005823207415937956,SAFE,1,,,,,,,,,,,,
puppeteer,3.0.0,0.0,0.014267328473970586,0.0,0.0,0.0035668321184926465,0.0053937434084747864,SAFE,1,,,,,,,,,,,,
puppeteer,4.0.0,0.0,0.014267328473970586,0.0,0.0,0.0035668321184926465,0.0053937434084747864,SAFE,1,,,,,,,,,,,,
puppeteer,5.0.0,0.0,0.014267328473970586,0.0,0.0,0.0035668321184926465,0.0053937434084747864,SAFE,1,,,,,,,,,,,,
puppeteer,9.0.0,0.0017,0.014267328473970586,0.0,0.0,0.003991832118492646,0.005978398274630202,SAFE,1,,,,,,,,,,,,
log4js,1.0.0,0.1176,0.010505322450819301,0.0,0.0,0.03202633061270482,0.04441588248982095,SAFE,1,,,,,,,,,,,,
log4js,2.0.0,0.9375,0.010505322450819301,0.0,0.0,0.2370013306127048,0.32639148529030615,SAFE,1,,,,,,,,,,,,
log4js,3.0.0,0.2326,0.010505322450819301,0.0,0.0,0.06077633061270483,0.08396606461209903,SAFE,1,,,,,,,,,,,,
log4js,4.0.0,0.0,0.010505322450819301,0.0,0.0,0.0026263306127048253,0.0039715223369522325,SAFE,1,,,,,,,,,,,,
log4js,5.0.0,0.0,0.010505322450819301,0.0,0.0,0.0026263306127048253,0.0039715223369522325,SAFE,1,,,,,,,,,,,,
better-sqlite3,3.0.0,0.2,0.009641122888921327,0.0,0.0,0.052410280722230335,0.07242773834139991,SAFE,1,,,,,,,,,,,,
bcrypt,1.0.0,0.0,0.00714538410088038,0.0,0.0,0.001786346025220095,0.002701302382254492,SAFE,1,,,,,,,,,,,,
bcrypt,2.0.0,0.0,0.00714538410088038,0.0,0.0,0.001786346025220095,0.002701302382254492,SAFE,1,,,,,,,,,,,,
bcrypt,4.0.0,0.0,0.00714538410088038,0.0,0.0,0.001786346025220095,0.002701302382254492,SAFE,1,,,,,,,,,,,,
react-dnd,1.0.0,0.0,0.00676537824853388,0.0,0.0,0.00169134456213347,0.002557641705694393,SAFE,1,,,,,,,,,,,,
sequelize,1.0.0,1.0,0.004115839994886991,0.0,0.0,0.25102895999872177,0.34547061465577195,WAIT,1,,,,,,,,,,,,
chrono-node,2.0.0,0.7213,0.0035090167445476364,0.0,0.0,0.18120225418613692,0.24939219939500654,SAFE,1,,,,,,,,,,,,
react-beautiful-dnd,2.0.0,0.0088,0.003225791455819071,0.0,0.0,0.0030064478639547677,0.004245954629484272,SAFE,1,,,,,,,,,,,,
react-beautiful-dnd,4.0.0,0.0779,0.003225791455819071,0.0,0.0,0.020281447863954766,0.028010455365566143,SAFE,1,,,,,,,,,,,,
react-beautiful-dnd,6.0.0,0.0,0.003225791455819071,0.0,0.0,0.0008064478639547677,0.0012195059105621227,SAFE,1,,,,,,,,,,,,
react-beautiful-dnd,7.0.0,0.0044,0.003225791455819071,0.0,0.0,0.0019064478639547679,0.0027327302700231974,SAFE,1,,,,,,,,,,,,
react-beautiful-dnd,9.0.0,0.0,0.003225791455819071,0.0,0.0,0.0008064478639547677,0.0012195059105621227,SAFE,1,,,,,,,,,,,,
react-beautiful-dnd,10.0.0,0.1532,0.003225791455819071,0.0,0.0,0.03910644786395477,0.05390722678997953,SAFE,1,,,,,,,,,,,,
react-beautiful-dnd,11.0.0,0.0425,0.003225791455819071,0.0,0.0,0.011431447863954768,0.0158358775644475,SAFE,1,,,,,,,,,,,,
serverless,1.0.0,1.0,0.0019477006658380298,0.0,0.0,0.2504869251664595,0.3446509526401361,WAIT,1,,,,,,,,,,,,
levelup,1.0.0,0.3333,0.001480046014853781,0.0,0.0,0.08369501150371345,0.11518627453779369,SAFE,1,,,,,,,,,,,,
levelup,3.0.0,0.0,0.001480046014853781,0.0,0.0,0.00037001150371344525,0.0005595293086173194,SAFE,1,,,,,,,,,,,,
node-sass,3.0.0,0.0,0.001287834958038698,0.0,0.0,0.0003219587395096745,0.0004868641896622356,SAFE,1,,,,,,,,,,,,
node-sass,4.0.0,0.0,0.001287834958038698,0.0,0.0,0.0003219587395096745,0.0004868641896622356,SAFE,1,,,,,,,,,,,,
graphql-tools,3.0.0,0.0392,0.0012827923754258012,0.0,0.0,0.01012069809385645,0.013966411232706519,SAFE,1,,,,,,,,,,,,
graphql-tools,5.0.0,0.3261,0.0012827923754258012,0.0,0.0,0.08184569809385644,0.11263551776211157,SAFE,1,,,,,,,,,,,,
graphql-tools,6.0.0,1.0,0.0012827923754258012,0.0,0.0,0.25032069809385643,0.34439958499866113,WAIT,1,,,,,,,,,,,,
graphql-tools,7.0.0,0.0,0.0012827923754258012,0.0,0.0,0.0003206980938564503,0.0004849578484169477,SAFE,1,,,,,,,,,,,,
graphql-tools,8.0.0,0.0,0.0012827923754258012,0.0,0.0,0.0003206980938564503,0.0004849578484169477,SAFE,1,,,,,,,,,,,,
apollo-server-express,3.0.0,0.32,0.0010367343861989735,0.0,0.0,0.08025918359654975,0.11044461666068167,SAFE,1,,,,,,,,,,,,
leveldown,4.0.0,1.0,0.0008619434132875656,0.0,0.0,0.2502154858533219,0.344240483642045,WAIT,1,,,,,,,,,,,,
leveldown,5.0.0,0.0,0.0008619434132875656,0.0,0.0,0.0002154858533218914,0.0003258564918008245,SAFE,1,,,,,,,,,,,,
tap,1.0.0,1.0,0.0004557615048547419,0.0,0.0,0.2501139403762137,0.34408692714439737,WAIT,1,,,,,,,,,,,,
tap,2.0.0,0.0,0.0004557615048547419,0.0,0.0,0.00011394037621368547,0.00017229999415319282,SAFE,1,,,,,,,,,,,,
tap,5.0.0,0.0,0.0004557615048547419,0.0,0.0,0.00011394037621368547,0.00017229999415319282,SAFE,1,,,,,,,,,,,,
tap,7.0.0,0.0,0.0004557615048547419,0.0,0.0,0.00011394037621368547,0.00017229999415319282,SAFE,1,,,,,,,,,,,,
tap,10.0.0,0.0,0.0004557615048547419,0.0,0.0,0.00011394037621368547,0.00017229999415319282,SAFE,1,,,,,,,,,,,,
gatsby,3.0.0-reach-router.14,0.0,0.0004153429017417078,0.0,0.0,0.00010383572543542695,0.0001570197982483729,SAFE,1,,,,,,,,,,,,
gatsby,3.0.0-reach-router.16,0.0,0.0004153429017417078,0.0,0.0,0.00010383572543542695,0.0001570197982483729,SAFE,1,,,,,,,,,,,,
gatsby,3.0.0-reach-router.18,0.0,0.0004153429017417078,0.0,0.0,0.00010383572543542695,0.0001570197982483729,SAFE,1,,,,,,,,,,,,
hapi,1.0.0,0.125,8.538569090146067e-05,0.0,0.0,0.03127134642272537,0.043021608333807,SAFE,1,,,,,,,,,,,,
hapi,2.0.0,0.4561,8.538569090146067e-05,0.0,0.0,0.11404634642272536,0.15689174138325285,SAFE,1,,,,,,,,,,,,
hapi,3.0.0,0.0204,8.538569090146067e-05,0.0,0.0,0.005121346422725366,0.007048138333891459,SAFE,1,,,,,,,,,,,,
hapi,5.0.0,0.0435,8.538569090146067e-05,0.0,0.0,0.010896346422725365,0.014992566221062098,SAFE,1,,,,,,,,,,,,
hapi,7.0.0,0.05,8.538569090146067e-05,0.0,0.0,0.012521346422725366,0.017228011297538686,SAFE,1,,,,,,,,,,,,
hapi,10.0.0,0.0588,8.538569090146067e-05,0.0,0.0,0.014721346422725365,0.020254460016460835,SAFE,1,,,,,,,,,,,,
